Abydos	40.195278	26.405	0
Cius	40.432468	29.156389	0
Colophon	38.108889	27.141667	237
Elaeus	40.059722	26.230556	0
Ephesus	37.941111	27.341944	16
Karatepe	37.295725	36.253948	0
Laodicea	37.835833	29.1075	0
Miletus	37.530278	27.278333	6
Nerik	41.207	35.42	0
Nicopolis (Armenia)	40.3	37.833333	0
Palu	38.705472	39.952527	0
Pergamon	39.1325	27.184167	315
Rhoiteion	40.009167	26.3	0
Samʾal	37.103611	36.678611	0
Sardis	38.488333	28.040278	0
Satala	40.026111	39.594722	0
Sestos	40.216667	26.383333	0
Smyrna	38.418611	27.139167	0
Troy	39.9575	26.238889	0
